"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"!!!SCHEMATICDOESNOTREFLECTDESIGN";"7906";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"KA7906TU";"";"94M7930";
"2.5V";"";"M02PTH";"1X02";"Header 2";"";"";"";"unknown";
"2.5VY";"";"M02PTH";"1X02";"Header 2";"";"";"";"unknown";
"2.048V";"";"M02PTH";"1X02";"Header 2";"";"";"";"unknown";
"5V";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"unknown";
"12V";"MSTBA2";"MSTBA2";"MSTBA2";"PHOENIX";"FARNELL";"1757242";"3705171";"71C4161";
"12V-AUX";"";"M02PTH";"1X02";"Header 2";"";"";"";"unknown";
"12VOUT";"MSTBA4";"MSTBA4";"MSTBA4";"PHOENIX";"";"";"3705195";"unknown";
"15V";"MSTBA3";"MSTBA3";"MSTBA3";"PHOENIX";"FARNELL";"1757255";"3705183";"71C4162";
"A-OUT";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"unknown";
"BUTTONS";"M04X2";"M04X2";"2X4";"";"";"";"";"unknown";
"C1";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"unknown";
"C2";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";
"C3";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"unknown";
"C4";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"unknown";
"C5";"1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"unknown";
"C6";"100uF";"CPOL-US153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, American symbol";"";"";"";"unknown";
"C7";"1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"unknown";
"C10";"100uF";"CPOL-US153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, American symbol";"";"";"";"unknown";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"unknown";
"D2";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"unknown";
"F1";"MFR500";"PTCFUSE";"MFR500";"LITTLEFUSE";"";"";"";"unknown";
"GALVOX";"";"3PIN-HEADER";"3PIN-HEADER";"PIN HEADER";"";"";"";"unknown";
